text,sentiment,original_text
buzerrp cebong demo muka bonyok,0,Jika ada buzerrp cebong di tempat demo sdh jelas mukanya bonyok
demo calon presiden,0,Dan sekarang yg kalian demo malah dicalonkan presiden😂
mahasiswa boneka,0,Mahasiswa jadi boneka
mahasewa beban ortu usak fasilitas rakyat,0,Mahasewa beban ortu perusak fasilitas rakyat
poin omnibus law sesuai rakyat indonesia maju,0,Sebenarnya yang masih ku pertanyakan poin omnibuslaw yang gak sesuai? Sebenarnya rakyat Indonesia siap mau maju gak?
omnibus law tau,0,omnibuslow itu apa? gak tau
kangen demo,0,Jadi kangen demo
naik ya emang lucumending naiktahun kemarin buruh protes protes naik ya lucu kasihan buruh,1,Kenaikan ya memang lucu..<br>Mending tidak naik..<br>Tahun kemarin tidak naik buruh tdk protes  .tapi sekarang protes  karna kenaikan ya lucu ..kasihan buruh...
omnibus law hukum haram,0,Omnibus law hukumnya haram
miris tinggal,0,Miris sampai ada yang meninggal
dewan wakil rakyat anjing,0,Dpr anjimm
demo selesai selesai ya,0,demo terus ngga selesai selesai ya
demo rusak harta benda benda raja indonesia,1,Hmmmm kalau nak buat demo buat dengan cara baik bukan dengan merosakkan lagi harta benda .Korang menambahkan lagi masalah kerajaan Indonesia
polisi luka mati,0,itu polisi yang terluka kenapa ga mati sekalian?
rusuh,0,kenapa selalu buat kerusuhan sih?
surabaya adem tenang demo ya anarkisme rusak fasilitas eh oh bohong,0,Hanya di surabaya adem tentram demo ya gak anarkis sampe merusak fasilitas umum. Eh ternyata oh ternyata itu semu kebohongan
masarakat sadar nya isi uud baca demo anarkis usaha ikut perintah pabrik seksi berat buru nya demo pabrik rugi putus hubung karyawan raka demo hak pabrik belang butuh kerja,1,Masarakat kita kurang punya kesadaran besar. Sebetul nya apa isi uud. Ini. Tanpa baca yg jelas .uda demo anarkis. Perusahaan harus sedikit banyak mengikuti pemerinta. Dan setiap pabrik.harus punya ssksi berat pada buru. Dgn ada nya demo uda pasti pabrik rugi basar.2 ran. PHK meraka yg demo.2. Itu hak pabrik.  Di belang masi banysk yg butuh kerja.
loker cari kerja demo sedia lowong kerja gilir kasih enak kasih kerja demo,1,"ada loker gamau nyari kerja demo katanya gak disediain lawangan pekerjaan, giliran sekarang dikasih enak gamau dikasih kerjaan juga gamau maunya demo terus"
merdeka merdeka orang orang rakyat pandang sampah,1,Bagaimana ini yang katanya merdeka yang merdeka adalah orang orang atas rakyat kecil hanya di pandang sebagai sampah
