text,sentiment,original_text
massa aksi rusak aset perintah rusuh timbul takut warga hidup mahasiswa anarkis,1,Memang massa aksi benar untuk merusak semua aset pemerintah dan bisa membuat rusuh hingga menimbulkan ketakutan warga. Hidup mahasiswa anarkis.
masyarakat dekat jelas gebuk,1,Masyarakat perlu pendekatan penjelasan bukan di gebuki
kabar tangkap presiden,0,"Kenapa yang memberi kabar tidak benar, tidak ditangkap pak presiden?"
korban aniaya polisimenolak lupa keras demonstran bandung puluh juni aksi tolak ppkm,0,"Saya korban aniaya polisi,MENOLAK LUPA KEKERASAN TERHADAP DEMONSTRAN DIBANDUNG 21 JUNI AKSI TOLAK PPKM."
demo omnibus hukum gagal signifikan fakta undang undang sah gagal jawab target kambing hitam dpr dukung perintah oposisi ketua bem langsung presiden target kambing hitam era reformasi hasil paksa rezim soeharto lengser jabat bravo mahasiswa tolak omnibus hukum pro kapitalis,0,"Demo Omnibus law sudah gagal secara signifikan karena faktanya UU tersebut tetap disahkan, kenapa bisa gagal ? Jawabannya karena tidak adanya target yang jelas siapa yg dijadikan kambing hitam karena DPR itu tidak semua pro pemerintah tapi juga ada yg menjadi oposisi. Kalau saya jadi Ketua BEM maka saya akan langsung menunjuk Presiden sebagai target kambing hitam sama seperti era REFORMASI 98 yang berhasil memaksa rezim Soeharto lengser dri jabatannya, Bravo Mahasiswa Tolak Omnibus Law PRO KAPITALIS !"
aneh demo anarkis polisi tangkap salah polisi waras,0,"Aneh, demo anarkis waktu polisi sudah tangkap lalu mau menyalahkan polisi. Apakah kamu waras?"
ya allah binasa manusia buat jahat,1,"Ya Allah,  binasakan manusia yang berbuat kejahatan"
masyarakat bodoh,0,ini masarakat yang bodoh
peluru nyasar kawan,1,Peluru nyasar mengenai kawanku saat itu
komentar,1,Sekarang mana ada yang komentar?
sombong angkuh moga tujuh turun aparat sewenagwenang derita,0,"SOMBONG ANGKUH, SEMOGA TUJUH KETURUNAN KALIAN APARAT YANG SEWENAGWENANG MENDERITA"
sih netral,1,aku sih netral saja
orang zoom salah bilang massa buat tembak salah polisi bubar massa jaga jarak sebar mudah,1,"Orang yang didalam zoom itu salah, dia bilang bahwa massa tidak berbuat apa-apa ditembak. Mungkin itu salah tapi polisi juga betul, gunanya buat membubarkan massa karena banyak Yang tidak jaga jarak yang akan membuat penyebaran covid 19 makin mudah"
jokowi mahfud khianat rakyat,0,Jokowi - mahfud penghianat rakyat
kemarin sajawaktu salah laskar bela rakyat nya diamsekarang sepak terjang rezim,0,Kemarin kemana saja..<br>Waktu salah satu laskar yang membela pada Rakyat Nya kalian diam.<br>Sekarang baru tahu rasanya bagaimana sepak terjang rezim sekarang
video tragedi tepat jakarta keras polisi mahasiswa situ parah hal,0,Video ini mengingatkan saya kepada tragedi tahun 1998 tepatnya di Jakarta karena kekerasan polisi terhadap mahasiswa di situ sangat parah sama halnya seperti sekarang ini
anarkis dpr anarkis,0,Anarkis sendrinya tidak merasa kalau DPR anarkis juga!<br>
media asing senang pecah belah,1,"Media asing, senang sekali memecah belah."
sebarluaskan undang undang hoaks repot sih puan hormat,0,"Sebarluaskan dong undang-undangnya agar tidak ada hoax lagi,  begitu saja kok repot sih bapak dan puan terhormat"
serang,0,SERANG
malas sombong dpr presiden hormat rakyat cinta rakyat ringan suruh mahkamah konstitusi tahun tanah tumpah darah bagi milik asing generasi rakyat merdeka china komunis terang terang kirim tenaga kerja asing juta,0,"Malasnya dan sombongnya DPR PRESIDEN tidak menghormati RAKYATNYA tak mencintai RAKYATNYA dengan ringannya menyuruh ke MK ,,, perlu waktu bertahun-tahun ,,, sedangkan  TANAH TUMPAH DARAH sudah dibagi-bagi milik asing,,, BERAPA GENERASI ??? Perlu waktu untuk jadi RAKYAT MERDEKA lagi ??? CHINA komunis sudah terang-terangan akan kirim TKA 10 juta"
mahfud md menteri disertasi omnibus hukum produk elitis otoriter,0,Benar MAHFUD MD sekarang Menteri dalam DISERTASINYA : OMNIBUS LAW  produk ELITIS OTORITER
