text,sentiment,original_text
rakyat jajah perintah apa nak indonesia sedih ya allah lindung aksara suara adil,0,rakyat dijajah pemerintah sendiri apalah nak jadi pada indonesia sedih aku ya allah lindungi aksara kami yang menyuarakan keadilan
wartawan jujur,1,wartawan jujur tidak sepihak
dewan wakil rakyat dalang masyarakat demo polisi masyarakat korban,0,Dewan Perwakilan Rakyat ini saja  jadi dalang yang membuat masyarakat demo polisi masyarakat jadi korban
demo tertib provokasi orang provokator rakyat murni tunggang partai politik apa,1,"demo dengan tertib, jangan terprovokasi oleh orang atau pihak provokator, kita rakyat murni tanpa ada ditunggangi partai politik atau apapun itu"
demonstran ricuh arogan kendali suasana kolusif damai tertib mancing ribut stop orasi damai,1,"kepada demonstran , jangan ricuh, jangan arogan, kendalikan diri supaya suasana kolusif, damai dan tertib, dan mancing keributan, stop, sampaikan orasi secara damai"
demo gera apa status hinggap lahir sakit cacat beda struktur pimpin,0,"demo atau pergerakan sebesar apapun akan berstatus, apabila sudah dihinggapi ibu yang melahirkan, bapak yang penyakit cacat berbeda dengan strukturisasi kepemimpinan"
lapang serikat kerja dukung omnibus rendah usah pakai serikat kerja lindung manajemen usah tuntut tuntut karyawan karyawan tuntut usul keras kesejahteran karyawan sesuai undang undang kerja usah patah tuntut manajemen urus serikat kerja usah karyawan potong gaji serikat serikat condong manajemen usah karyawan tuntut kesejahteran karyawan sesuai undang undang kerja incar salah habis hormat miris urus karyawan bela usaha manajemen tuntut karyawan cepat golong pangkat serikat kerja demo semangat kobar tonton televisi dalil dalil juang hak karyawan kerja tonton berita televisi serikat buruh demo usaha bela hak hak kerja biar paham serikat kerja jaman bela juang hak kerja kasih duit rame,0,"sebenarnya yang terjadi dilapangan, serikat pekerja itu lah yang pendukung omnibus rendah, banyak sekarang perusahan memakai serikat pekerja untuk melindungi manajemen perusahan dari tuntutan tuntutan karyawan, <br> kalau ada karyawan menuntut atau usul keras tentang kesejahteran karyawan sesuai undang undang pekerja di perusahan pasti yang jawab, yang patah tuntutan tersebut bukan manajemen tapi pengurus serikat pekerja yang ada di perusahan <br> padahal karyawan tiap bulan ada potongan gaji untuk serikat tapi serikat malah condong ke manajemen atau perusahan dan yang karyawan yang banyak tuntutan untuk kesejahteran karyawan sesuai dengan undang undang pekerja pasti diincar, suatu saat ada sedikit kesalahan maka akan dihabisi atau tidak hormat miris lagi para pengurusnya karyawan biasa tapi kalau banyak membela perusahaan atau manajemen dari tuntutan karyawan pasti secepatnya naik golongan, pangkat <br> jadi serikat pekerja yang demo dengan semangat yang berkobar ditonton di televisi yang dalil dalil memperjuangkan hak karyawan atau pekerja, itu tidak benar kalau menurut saya <br> karena belum pernah ditonton berita di televisi serikat buruh demo ke perusahaan untuk membela hak-hak pekerja itu saja , biar pada paham kalau serikat pekerja jaman dulu memang benar membela, memperjuangkan hak pekerja kalau sekarang harus kasih duit dulu baru rame 😃"
maaf bijak panglima tni bagus anak anak tau sejarah culi jenderal jadi sejarah pahit rasa utama prajurit tni,1,maaf apa kebijakan panglima tni itu bagi saya bagus karena anak anak itu tak tau apa apa namun sejarah dari penculikan para jenderal tetap dijadikan suatu sejarah yang sangat pahit dirasakan utama kita kita ini prajurit tni
tentara polisi halang rakyat rakyat kena rancang undang undang aparat,1,"tentara , polisi apa halangi rakyat? jika rakyat kena Rancangan Undang-Undang maka nantinya aparat siap siap juga"
ricuh orang ubah ru,1,sebenarnya kericuhan ini hanya satu orang dan mereka yang membuat perubahan ru
demo orang lempar mobil polisi,0,demo orang banyak melempar mobil polisi
pandang kapitalis main peran bentuk undang undang cipta kerja prioritas era buka kelola uang negara maju ekonomi cipta nilai contoh kurang ekspor bahan mentah fokus tingkat daya beli masyarakat sedia barang pasar ide ganti menteri ketenagakerjaan patut timbang,1,"Ada pandangan bahwa kapitalis memainkan peran dalam pembentukan undang-undang Cipta Kerja. Namun, yang paling penting adalah memprioritaskan era keterbukaan dalam pengelolaan keuangan negara dan memajukan ekonomi dengan menciptakan nilai tambah. Sebagai contoh, sebaiknya kita mengurangi ekspor bahan mentah dan fokus pada meningkatkan daya beli masyarakat serta ketersediaan barang di pasar. Ide mengganti Menteri Ketenagakerjaan mungkin patut dipertimbangkan."
demo bendung,0,demo sebenarnya itu tidak bisa di bendung lebih banyak
bagus berani protes,1,bagus ada yang berani protes
polisi bela salah,0,polisinya bela yang salah
terus juang saudara,1,teruskan perjuangan saudaraku
tanggap kritik masyarakat demo,1,tanggapi kritikan masyarakat tidak akan terjadi demo
ya teman besok pagi negara indonesia presiden joko widodo bubar masyarakat demo warga dewan wakil rakyat bilang pkm,0,ya sudah teman <br> besok pagi <br> negara indonesia <br> presiden joko widodo <br> bubar saja  <br> masyarakat demo <br> juga warga <br> Dewan Perwakilan Rakyat bilang saja  <br> buat apa pkm
selamat malam teman bilang negara indonesia presiden joko widodo kasih demo masyarakat warga tuju pkm apan nih dewan wakil rakyat iya,0,selamat malam teman <br> bilang saja  <br> negara indonesia <br> presiden joko widodo <br> tidak kasih yang <br> demo masyarakat <br> juga warga <br> saya tidak setuju <br> untuk pkm <br> buat apan nih <br> Dewan Perwakilan Rakyat iya
informasi adan demo hasil cari lirik cabut tuntut polisi daerah jakarta timur dki dewan wakil rakyat serang demo biara polisi bandung surabaya ikut demo,0,jadi kita bisa melihat informasi tentang keadan demo ini adalah hasil pencarian lirik untuk mencabut tuntutan kepada pihak kepolisian daerah jakarta timur dki Dewan Perwakilan Rakyat sedang diserang oleh para pendemo biara polisi bandung dan surabaya mengikuti demo
obok obok tenaga kerja indonesia tentramnya nyari duit jaman atur,0,obok obok terus tenaga kerja indonesia tidak ada tentramnya nyari duit jaman sekarang banyak aturan yang tidak jelas
indonesia satu indonesia maju,1,ini indonesia jika bersatu indonesia maju
semangat umur juang,1,semangat panjang umur perjuangan
puasa pandemi alas timbang undang undang cipta kerja cipta imbang penting buruh usaha usaha peran santa claus buruh bekerjasama buruh implementasi ide langkah langkah bisnis cipta sinergi undang undang cipta kerja anggap alat jaga baharu kapal penting usaha langsung buruh pikir dalam pikir langkah tindak,1,"Pada bulan puasa, pandemi bukanlah alasan untuk tidak mempertimbangkan hal-hal yang kita tidak tahu. Undang-Undang Cipta Kerja seharusnya menciptakan keseimbangan antara kepentingan buruh dan pengusaha. Pengusaha tidak bisa berperan sebagai Santa Claus yang memberikan segala sesuatu kepada buruh. Sebaliknya, mereka bekerjasama dengan buruh dalam mengimplementasikan ide dan langkah-langkah bisnis untuk menciptakan sinergi. Undang-Undang Cipta Kerja seharusnya dianggap sebagai alat untuk menjaga dan memperbaharui kapal, bukan hanya untuk kepentingan pengusaha, tapi juga demi keberlangsungan buruh. Pemikiran yang mendalam dan berpikir adalah langkah awal sebelum bertindak."
kasihan demo pimpin juta demo nasi bungkus,0,"kasihan yang demo ini , pimpinan dapat 50 juta , yang demo cuma dapat nasi bungkus"
batu benda tajam,0,batu benda tajam?🤣
rancang undang undang cipta kerja banget jasa google jelas alien mending tolak indonesia negara satu,0,apa itu Rancangan Undang-Undang cipta kerja? tidak jelas banget bahkan penjelasanya di google sudah seperti penjelasan alien <br> mending tolak indonesia jadi negara persatuan 🙄
sadar alam bicara mudah mudah,1,kalau kalian belum sadar alam yang akan bicara mudah-mudah tidak ada apa-apa di tahun 2021
berani pimpin bohong munafik iblis bohong hadap rakyat eh iblis berani ngumpet kembali uang rakyat pimpin,0,"sekarang tidak berani keluar, karena pemimpin bohong munafik iblis, kalau dia bohong keluar hadapi rakyat eh iblis keluar, jangan berani ngumpet kembalikan uang rakyat lebih baik tidak ada pemimpin ,"
bela tni polisi republik indonesia berani teriak teriak ngebacot sosial media doang coba muncul muka hantu coba gera gerombol gerombol benci front bela islam ulama ulama liat mana sih orang orang,0,"yang dibela tni & Polisi Republik Indonesia cuma berani teriak-teriak & ngebacot di sosial media doang, coba dong muncul di permukaan jangan cuma jadi hantu saja di , coba gerakan gerombolan-gerombolan yang pembenci Front Pembela Islam dan ulama-ulama, saya mau liat kalian itu semana sih orang-orang"
